STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT,year
63740099999,2015-02-05,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",71.8,24,53.4,24,9999.9,0,999.9,0,6.6,17,10.7,24,19.0,999.9,86.4, ,53.6, ,0.0,I,999.9,0,2015
63740099999,2015-02-06,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",72.8,24,55.5,24,9999.9,0,999.9,0,8.6,21,9.6,24,15.0,999.9,85.3, ,59.0, ,0.0,I,999.9,0,2015
63740099999,2015-02-07,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",71.2,24,53.5,24,9999.9,0,999.9,0,7.2,12,9.7,24,15.9,999.9,84.4, ,59.5, ,0.0,I,999.9,0,2015
63740099999,2015-02-08,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",70.3,24,53.9,24,9999.9,0,999.9,0,9.5,23,10.1,24,18.1,999.9,84.6, ,55.9, ,0.0,I,999.9,0,2015
63740099999,2015-02-09,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",72.2,23,51.4,23,9999.9,0,999.9,0,9.2,23,11.4,23,18.1,999.9,86.2, ,56.3, ,0.0,I,999.9,0,2015
63740099999,2015-02-10,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",70.9,24,51.0,24,9999.9,0,999.9,0,8.6,21,10.8,24,17.1,26.0,85.1, ,59.0, ,0.0,I,999.9,0,2015
63740099999,2015-02-11,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",71.7,24,47.8,23,9999.9,0,999.9,0,9.5,18,7.6,24,13.0,999.9,85.6, ,58.1, ,0.0,I,999.9,0,2015
63740099999,2015-02-12,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",73.7,24,51.2,24,9999.9,0,999.9,0,7.5,18,9.0,24,18.1,999.9,87.8, ,60.8,*,0.0,I,999.9,0,2015
63740099999,2015-02-13,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",73.4,24,50.5,24,9999.9,0,999.9,0,9.3,18,7.9,24,14.0,25.1,88.7, ,59.9, ,0.0,I,999.9,0,2015
63740099999,2015-02-14,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",74.2,24,53.4,24,9999.9,0,999.9,0,7.9,21,6.9,24,17.1,999.9,88.7, ,56.5, ,0.0,I,999.9,10,2015
63740099999,2015-02-15,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",69.4,24,59.3,24,9999.9,0,999.9,0,6.5,24,6.4,24,15.9,999.9,80.6, ,62.6, ,0.0,E,999.9,10010,2015
63740099999,2015-02-16,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",70.6,23,57.6,23,9999.9,0,999.9,0,6.1,22,6.9,23,15.0,999.9,87.1, ,51.8, ,0.0,G,999.9,10010,2015
63740099999,2015-02-17,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",70.1,23,59.0,23,9999.9,0,999.9,0,7.8,23,8.3,23,17.1,999.9,82.4,*,59.0,*,0.94,A,999.9,10010,2015
63740099999,2015-02-18,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",71.4,24,59.7,24,9999.9,0,999.9,0,7.0,24,7.5,24,15.9,999.9,82.4,*,61.7, ,0.0,I,999.9,0,2015
63740099999,2015-02-19,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",71.2,24,58.0,24,9999.9,0,999.9,0,9.3,22,6.9,24,14.0,999.9,82.4, ,59.4, ,0.0,I,999.9,0,2015
63740099999,2015-02-20,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",71.4,24,56.5,24,9999.9,0,999.9,0,7.1,22,9.5,24,15.9,24.1,82.4,*,60.8, ,0.0,I,999.9,0,2015
63740099999,2015-02-21,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",72.4,24,54.3,24,9999.9,0,999.9,0,9.8,21,8.9,24,15.0,999.9,87.8, ,60.4, ,0.0,I,999.9,0,2015
63740099999,2015-02-22,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",71.9,24,53.6,24,9999.9,0,999.9,0,7.2,24,9.8,24,18.1,999.9,85.1, ,59.5, ,0.0,I,999.9,0,2015
63740099999,2015-02-23,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",71.0,24,52.2,24,9999.9,0,999.9,0,9.5,15,8.9,24,15.9,999.9,84.9, ,58.1, ,0.0,I,999.9,0,2015
63740099999,2015-02-24,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",71.9,24,48.4,24,9999.9,0,999.9,0,9.2,19,7.3,24,12.0,999.9,87.8, ,54.5, ,0.0,I,999.9,0,2015
